Feature_ID	Taxon	Consensus
064f29cb755fca7c160214255c17ebc3	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	1.0
0684dea65e5b44bcaa7fe18ab5ea71e8	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	0.6
069fbbef53325b3aebff5f9b088c0656	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;uncultured;uncultured_bacterium	0.7
06754acc21c6593298504d2e6fb16fbe	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;I-10;uncultured_bacterium;uncultured_bacterium	0.9
06a3be4af7e4f9e7277d529aea4bf807	Bacteria;Acidobacteria;Subgroup_6	1.0
06a4bed97e333c421086e28f5b834d61	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;uncultured_bacterium	0.7
06a50eab1ec66583bdd863346388838e	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia	0.6
0580bde543673884760a2ebee3dfdf9a	Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84	1.0
06b6027610a118529b11652460f0fe71	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	0.9
06d7266ab228d2ea7dd0d69d28b466df	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	1.0
06dee81febe2fc9fc52299a2c47b246c	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;uncultured_bacterium	0.7
06d09c5f437cfecd31e153180f76e07d	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;uncultured_bacterium	0.8
06e7876af4c0ace5fe69e003bc9da8d6	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	1.0
07085ce58ecfe2e589fd07df053de811	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;p35j06ok	0.6
070bea19875c6959cf25042c9e2434d1	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces	1.0
0725958cde0f19d30fc83f5a707e1c15	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;uncultured_bacterium	0.7
074c13357fa7e3a17881ecdfa7516c9b	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;uncultured_bacterium;uncultured_bacterium	0.6
0753e7acb72ec69b72752c8940bef807	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadales_Incertae_Sedis;Acidibacter;uncultured_bacterium	0.6
075c34ffbb087dc41c55ce1cf3c587cc	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	1.0
0760bbd490af6634cc7878ed2238461d	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas	1.0
07707f089a5c01ec0845bf6630d26879	Bacteria;Actinobacteria;MB-A2-108;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.6
076514bbb1c6dcc20e56c167c1445eab	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;P3OB-42;uncultured_bacterium;uncultured_bacterium	0.7
078d5440ec3e56bc200361f18383d075	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;Ambiguous_taxa	0.7
0795a7c45ca4e69d27bc8e7c9b024ff4	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	1.0
0775a65909f1033dbf8296c7cfdcc1f5	Bacteria;Acidobacteria;Holophagae;Subgroup_10;ABS-19;uncultured_bacterium;uncultured_bacterium	0.7
07aab3d2de637f46d95a417feec64024	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Niastella	1.0
07b37275519cb5c137ade7dbd7fe3400	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;uncultured_bacterium	0.7
07c8a714347e5a039e8844cd4d5d2445	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured	0.9
07c914b7e0effa4a4a79c341af45b38f	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured_bacterium;uncultured_bacterium	0.7
07b9209739970398ede12c77c4f1e138	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;uncultured_bacterium	0.7
07d70581a78854cb7e927f456ef71156	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6;uncultured_bacterium;uncultured_bacterium	0.8
07efff60c0302a457c263612f6d482b2	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquincola	0.7
08169587a15caa178cdeb2d693042954	Bacteria;Latescibacteria;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.7
0822abef2c96d2ae25cc87868f63d40f	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes	1.0
082fe3e09a8a1a7a24fe03231fa6ff57	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;uncultured_bacterium	0.9
08348557ca70abd87d543a788850dc7d	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0.6
081e8f1eb247093f625a03153549b1a7	Bacteria;Actinobacteria;Actinobacteria;Frankiales;uncultured	0.6
083e5b54838c6209e9caf03004901d7f	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Dongia	1.0
0818063e052f74dcafa121a541ef28b9	Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84	0.9
085ab515dfe283a3f1bf2806909f419c	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_Incertae_Sedis;Bauldia;uncultured_bacterium	0.6
0842dd90643ed9133d0843c3d370716a	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6;uncultured_bacterium;uncultured_bacterium	0.8
0879305100b84c672d67a5e5ad21bd1e	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;Tepidisphaeraceae;uncultured_bacterium;uncultured_bacterium	0.9
087f9a8be6c3469c605bf3a30a0cd6f4	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadales_Incertae_Sedis;Acidibacter;uncultured_bacterium	0.9
0894d23e0fb21c899f15eec5469f130d	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Duganella	0.6
08b042432b5af9706c62f6784512e625	Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.9
08995258dcab3634cbbe385927d19c0b	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	1.0
08c675d4c5f1d52588dabf292598cc3d	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;uncultured;uncultured_bacterium	0.6
08e7f6490e030b23524eae693b64e983	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;env.OPS_17	1.0
08d33206b9b9ac3ddba11fd86fd74b64	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	1.0
08f53cd364b5da8a52121ca4a3588931	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	1.0
090232b061a40616b1d9a6714f3ddb58	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	1.0
0912aaf4f4dba9ea464fdf5baede22c1	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;uncultured_bacterium	0.9
0907630c9687032d4d09a53a1761c8f7	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	1.0
