#_Constructed_from_biom_file																																																
#OTU_ID	CC-1_000000000-C9YP3	CC-2_000000000-C9YP3	CC-3_000000000-C9YP3	CC-5_000000000-C9YP3	CC-6_000000000-C9YP3	CC-7_000000000-C9YP3	CC-8_000000000-C9YP3	CM-1_000000000-C9YP3	CM-2_000000000-C9YP3	CM-3_000000000-C9YP3	CM-4_000000000-C9YP3	CM-5_000000000-C9YP3	CM-6_000000000-C9YP3	CM-7_000000000-C9YP3	CM-8_000000000-C9YP3	CN-1_000000000-C9YP3	CN-2_000000000-C9YP3	CN-3_000000000-C9YP3	CN-4_000000000-C9YP3	CN-5_000000000-C9YP3	CN-6_000000000-C9YP3	CN-7_000000000-C9YP3	CN-8_000000000-C9YP3	LC-1_000000000-C9YP3	LC-2_000000000-C9YP3	LC-3_000000000-C9YP3	LC-4_000000000-C9YP3	LC-5_000000000-C9YP3	LC-6_000000000-C9YP3	LC-7_000000000-C9YP3	LC-8_000000000-C9YP3	LM-1_000000000-C9YP3	LM-2_000000000-C9YP3	LM-3_000000000-C9YP3	LM-4_000000000-C9YP3	LM-5_000000000-C9YP3	LM-6_000000000-C9YP3	LM-7_000000000-C9YP3	LM-8_000000000-C9YP3	LN-1_000000000-C9YP3	LN-2_000000000-C9YP3	LN-3_000000000-C9YP3	LN-4_000000000-C9YP3	LN-5_000000000-C9YP3	LN-6_000000000-C9YP3	LN-7_000000000-C9YP3	LN-8_000000000-C9YP3	taxonomy
0a9ef0dada384c408de85c24b741b543	0	0	0	0	0	39	0	0	26	0	0	14	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
0b5717b26f9247c4dfb3a73244a9fe85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
0b868bf2d2206555dff72328a55210ba	0	0	0	0	0	0	0	0	34	0	0	53	0	69	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	22	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
0bae0428989aea0c631a382c213f27b2	94	3	0	0	0	0	0	52	66	76	12	181	0	168	0	23	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	22	0	0	12	8	0	20	59	31	29	10	5	0	0	0	0	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;uncultured
0cce7982066124071e6a9861ef7a3a61	0	0	0	0	57	42	68	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	41	63	46	51	24	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
0d15c22da9942dd74d8e06e3b3dcbb3c	1000	459	279	66	185	36	431	0	0	0	0	32	0	0	0	30	40	72	18	121	23	0	47	206	292	474	161	605	49	242	28	0	0	0	0	0	0	0	0	47	41	45	16	49	68	40	65	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Fluviicola;uncultured_bacterium
0de10e1c6e9f528de5f06f147f974676	0	0	73	0	0	0	0	0	255	218	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
0e46d0615ddc954439a53e0bf2affdbd	0	0	0	12	0	0	0	0	0	216	75	40	0	0	237	78	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	17	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella
0e7326e9404bcfa819c0c90b97372423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	0	13	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	28	0	45	81	37	73	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;uncultured_bacterium
0f3f91e5daef4153715ac50f2625702f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	695	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia
